Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
F,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,Respondent147
F,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,Respondent148
F,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,Respondent149
F,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,Respondent150
F,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,Respondent151
F,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,Respondent152
F,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,Respondent153
F,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,Respondent154
F,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,Respondent155
F,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,Respondent156
F,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,Respondent157
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,Respondent158
F,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,Respondent159
F,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,Respondent160
F,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,Respondent161
F,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,Respondent162
F,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,Respondent163
F,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,Respondent164
F,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,Respondent165
F,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,Respondent166
F,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,Respondent167
F,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,Respondent168
F,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,Respondent169
F,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,Respondent170
